다|多
다소인지죄자|多小人之罪者
다소임사|多少臨事
다소전유|多所全宥
다소점찬|多所點竄
다소죄책|多所罪責
다소주살|多所誅殺
다소주설|多所誅殺
다소주쇄|多所誅殺
다소주시|多所誅殺
다소지소|多少之少
다소진탁|多所陳託
다소청납|多所聽納
다소평|多所平
다소평반|多所平反
다소피소|多所辟召
다소항유|多所降宥
다소현우재내상|多少賢愚在內廂
다소후박지삭|多少厚薄之數
다소후박지수|多少厚薄之數
다소후박지촉|多少厚薄之數
다소흥조|多所興造
다속기병토|多欲起兵討
다속자야|多欲者也
다속즉사념|多欲則邪念
다속즉사염|多欲則邪念
다속즉장벌기심의|多欲則戕伐其心矣
다속즉호동이무절|多欲則好動而無節
다속칙사념|多欲則邪念
다속칙사염|多欲則邪念
다속칙장벌기심의|多欲則戕伐其心矣
다속칙호동이무절|多欲則好動而無節
다손|多遜
다손부위야|多遜不違也
다손불위야|多遜不違也
다쇄국사|多殺國士
다쇄기본군관개|多殺其本郡冠蓋
다쇄기분군관개|多殺其本郡冠蓋
다쇄도간장좌|多殺陶侃將佐
다쇄사졸|多殺士卒
다쇄수령이응지|多殺守令以應之
다쇄수영이응지|多殺守令以應之
다쇄자지|多殺次之
다쇄차지|多殺次之
다쇄충량|多殺忠良
다쇄충양|多殺忠良
다수|多數
다수강|多受降
다수구뇌|多受賕賂
다수구뢰|多受賕賂
다수두맥|多收豆麥
다수봉작|多受封爵
다수지|多樹之
다수지막|多須之貌
다수지모|多須之貌
다수친당|多樹親黨
다수항|多受降
다숙기병토|多欲起兵討
다숙소정|多肅所定
다숙자야|多欲者也
다숙즉사념|多欲則邪念
다숙즉사염|多欲則邪念
다숙즉장벌기심의|多欲則戕伐其心矣
다숙즉호동이무절|多欲則好動而無節
다숙칙사념|多欲則邪念
다숙칙사염|多欲則邪念
다숙칙장벌기심의|多欲則戕伐其心矣
다숙칙호동이무절|多欲則好動而無節
다순도유|多徇謟諛
다순신지|多順宸旨
다순첨유|多徇諂諛
다술구문|多述舊聞
다술우위지사|多述憂危之事
다승과|多勝寡
다승시형세이작위형어인|多乘是形勢以作威刑於人
다승시형세이작위형오인|多乘是形勢以作威刑於人
다승총임|多承寵任
다시|多是
다시국사|多殺國士
다시기|多猜忌
다시기본군관개|多殺其本郡冠蓋
다시기분군관개|多殺其本郡冠蓋
다시논인장단|多是論人長短
다시도간장좌|多殺陶侃將佐
다시론인장단|多是論人長短
다시면가개유|多是面加開諭
다시면가개투|多是面加開諭
다시무자|多是無子
다시문무시사|多是文武時事
다시사졸|多殺士卒
다시수령이응지|多殺守令以應之
다시수영이응지|多殺守令以應之
다시애유어경|多是愛逾於敬
다시야인|多是野人
다시자지|多殺次之
다시즉군하방혐|多猜則群下防嫌
다시차지|多殺次之
다시충량|多殺忠良
다시충양|多殺忠良
다시칙군하방혐|多猜則群下防嫌
다시포백|多是布帛
다식|多識
다식어|多識於
다식전언왕행|多識前言往行
다신|多信
다실기전|多失其傳
다실지방사|多失之放肆
다실지역|多失之易
다실지이|多失之易
다실지조려|多失之粗厲
다실지조여|多失之粗厲
다십배자|多十倍者
다아구민|多我覯痻
다암|多陰
다암련|多諳練
다암매|多暗昧
다암연|多諳練
다애목단|多愛牧丹
다애목란|多愛牧丹
다야|多也
다야|茶也
다약남토|多掠南土
다약부녀|多略婦女
다약부여|多略婦女
다양|多陽
다양마이자온달|多養馬以資溫達
다양무뇌지사|多養無頼之士
다양무뢰지사|多養無頼之士
다양사사|多養死士
다양인암매지실|多揚人暗昧之失
다양주인|多涼州人
다어|多魚
다어공|多於孔
다어과인|多語寡人
다어과인신이막동|多語寡人辰而莫同
다어과인신이맥동|多語寡人辰而莫同
다어과인신이모동|多語寡人辰而莫同
다어과인진이막동|多語寡人辰而莫同
다어과인진이맥동|多語寡人辰而莫同
다어과인진이모동|多語寡人辰而莫同
다어구토지성곽|多於九土之城郭
다어기상지공녀|多於機上之工女
다어기상지공여|多於機上之工女
다어남묘지농부|多於南畝之農夫
다어남무지농부|多於南畝之農夫
다어시인지언어|多於市人之言語
다어장후반혼|多於葬後返魂
다어재유지속립|多於在庾之粟粒
다어재유지속입|多於在庾之粟粒
